candidate_id,rank,score,reasoning
CAND_0043860,1,1.158548544,Junior Ml Engineer with 6.1 yrs exp. Verified assessment match: 83.5. Immediate market availability alignment.
CAND_0030031,2,1.059315264,Ai Engineer with 5.7 yrs exp. Verified assessment match: 63.5. Immediate market availability alignment.
CAND_0049230,3,1.0339100928000002,Backend Engineer with 5.5 yrs exp. Verified assessment match: 67.1. Immediate market availability alignment.
CAND_0081846,4,0.9727243776,Lead Ai Engineer with 6.7 yrs exp. Verified assessment match: 64.8. Immediate market availability alignment.
CAND_0076482,5,0.9261319680000001,Ml Engineer with 6.6 yrs exp. Verified assessment match: 86.0. Strong technical profile fit.
CAND_0078492,6,0.901193472,Recommendation Systems Engineer with 5.1 yrs exp. Verified assessment match: 66.4. Immediate market availability alignment.
CAND_0098454,7,0.8697623184000001,Ai Specialist with 6.6 yrs exp. Verified assessment match: 63.3. Strong technical profile fit.
CAND_0043637,8,0.8561474496000001,Junior Ml Engineer with 5.5 yrs exp. Verified assessment match: 49.7. Strong technical profile fit.
CAND_0053605,9,0.8239104000000002,Senior Software Engineer (Ml) with 6.9 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0081686,10,0.8193775968000001,Search Engineer with 6.0 yrs exp. Verified assessment match: 64.9. Strong technical profile fit.
CAND_0091745,11,0.807812064,Junior Ml Engineer with 5.9 yrs exp. Verified assessment match: 74.5. Immediate market availability alignment.
CAND_0068351,12,0.792288,Lead Ai Engineer with 6.4 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0020708,13,0.7772737536000001,Search Engineer with 4.2 yrs exp. Verified assessment match: 64.4. Immediate market availability alignment.
CAND_0020350,14,0.7632960768000002,Ai Engineer with 5.8 yrs exp. Verified assessment match: 87.4. Immediate market availability alignment.
CAND_0052682,15,0.7554816000000001,Nlp Engineer with 6.6 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0035321,16,0.7499128319999999,Senior Data Engineer with 7.2 yrs exp. Verified assessment match: 44.9. Immediate market availability alignment.
CAND_0049538,17,0.7427137536000001,Applied Ml Engineer with 5.8 yrs exp. Verified assessment match: 71.4. Immediate market availability alignment.
CAND_0052328,18,0.734832,Recommendation Systems Engineer with 6.5 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0010685,19,0.7246368000000001,Nlp Engineer with 6.7 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0079387,20,0.7162560000000001,Ai Engineer with 6.9 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0002793,21,0.7117632,Ai Specialist with 5.5 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0098952,22,0.7096455360000001,Ai Research Engineer with 5.5 yrs exp. Verified assessment match: 86.7. Strong technical profile fit.
CAND_0058688,23,0.7001856,Ai Engineer with 6.7 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0082086,24,0.687444624,Senior Software Engineer (Ml) with 6.0 yrs exp. Verified assessment match: 81.8. Strong technical profile fit.
CAND_0004677,25,0.6790924799999999,Data Engineer with 5.6 yrs exp. Verified assessment match: 36.4. Immediate market availability alignment.
CAND_0011687,26,0.6784992000000001,Senior Nlp Engineer with 7.8 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0033445,27,0.6718982400000001,Ml Engineer with 6.8 yrs exp. Verified assessment match: 45.0. Immediate market availability alignment.
CAND_0060054,28,0.6659712000000001,Ai Engineer with 6.4 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0016659,29,0.6641271000000002,Ml Engineer with 4.4 yrs exp. Verified assessment match: 77.5. Strong technical profile fit.
CAND_0029439,30,0.6611604480000001,Ai Specialist with 6.4 yrs exp. Verified assessment match: 76.4. Strong technical profile fit.
CAND_0013440,31,0.6562944000000002,Senior Data Engineer with 7.2 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0064664,32,0.6527952000000001,Ml Engineer with 4.4 yrs exp. Verified assessment match: 80.0. Strong technical profile fit.
CAND_0062247,33,0.6524928000000001,Ai Engineer with 7.3 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0043228,34,0.6514456319999999,Applied Ml Engineer with 6.8 yrs exp. Verified assessment match: 83.0. Immediate market availability alignment.
CAND_0002025,35,0.6462720000000002,Senior Ai Engineer with 5.9 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0052706,36,0.6443910720000001,Ai Research Engineer with 5.1 yrs exp. Verified assessment match: 56.0. Strong technical profile fit.
CAND_0092799,37,0.642816,Backend Engineer with 5.1 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0013665,38,0.640624608,Senior Software Engineer (Ml) with 5.2 yrs exp. Verified assessment match: 65.5. Immediate market availability alignment.
CAND_0021488,39,0.6316224048,Data Engineer with 6.5 yrs exp. Verified assessment match: 64.1. Strong technical profile fit.
CAND_0038368,40,0.6269184000000001,Ml Engineer with 5.4 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0031129,41,0.6262272000000001,Data Engineer with 5.9 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0046064,42,0.6255360000000002,Senior Nlp Engineer with 8.9 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0007962,43,0.6213888000000001,Senior Data Engineer with 6.4 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0008191,44,0.6213888000000001,Senior Data Engineer with 8.0 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0049703,45,0.6186240000000002,Senior Data Engineer with 6.7 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0018701,46,0.6146813951999999,Junior Ml Engineer with 6.0 yrs exp. Verified assessment match: 82.8. Strong technical profile fit.
CAND_0080102,47,0.6146426879999999,Junior Ml Engineer with 6.5 yrs exp. Verified assessment match: 56.8. Strong technical profile fit.
CAND_0043676,48,0.6143040000000001,Senior Software Engineer (Ml) with 6.1 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0064326,49,0.6130080000000001,Search Engineer with 7.6 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0078042,50,0.6073056000000001,Applied Ml Engineer with 4.7 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0070525,51,0.6011496000000002,Senior Software Engineer (Ml) with 5.4 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0017178,52,0.5990760000000002,Ml Engineer with 4.2 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0006418,53,0.5953824000000002,Machine Learning Engineer with 5.7 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0093916,54,0.5944320000000001,Data Engineer with 7.7 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0055905,55,0.5900256000000001,Senior Machine Learning Engineer with 8.1 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0018094,56,0.58873932,Ml Engineer with 5.2 yrs exp. Verified assessment match: 70.7. Strong technical profile fit.
CAND_0080766,57,0.5882112,Staff Machine Learning Engineer with 8.8 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0015097,58,0.5871744,Senior Software Engineer (Ml) with 6.0 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0056176,59,0.5853600000000001,Senior Data Engineer with 7.0 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0064256,60,0.5842368000000001,Junior Ml Engineer with 6.4 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0008295,61,0.5838480000000001,Ai Research Engineer with 6.5 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0075249,62,0.583352928,Applied Ml Engineer with 6.2 yrs exp. Verified assessment match: 69.0. Strong technical profile fit.
CAND_0010204,63,0.5817312000000001,Backend Engineer with 7.0 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0094292,64,0.58038984,Ai Specialist with 6.5 yrs exp. Verified assessment match: 85.0. Strong technical profile fit.
CAND_0070514,65,0.5780160000000001,Ai Specialist with 5.5 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0053591,66,0.5739336000000002,Ai Engineer with 5.3 yrs exp. Verified assessment match: 0.0. Strong technical profile fit.
CAND_0036437,67,0.5721840000000001,Search Engineer with 4.8 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0036184,68,0.5685120000000001,Recommendation Systems Engineer with 6.0 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0050454,69,0.5654016000000001,Ai Engineer with 6.8 yrs exp. Verified assessment match: 0.0. Immediate market availability alignment.
CAND_0027279,70,0.5621391360000001,Backend Engineer with 5.7 yrs exp. Verified assessment match: 54.0. Immediate market availability alignment.
